# Time-averaged data for fix temp_GR
# TimeStep v_mytemp c_GR_1 c_GR_2 c_GR_3 c_GR_4 c_GR_5 c_GR_6
1000 655.269 9.25432 10.8454 10.1419 13.268 9.32554 11.5791
2000 654.527 9.21229 10.5961 10.0148 13.4985 9.07361 11.5673
3000 645.084 9.26558 10.7527 9.99385 13.45 9.1233 11.49
4000 641.914 9.33298 10.8278 9.9336 13.4307 9.17859 11.4227
5000 649.509 9.42946 10.9926 10.0332 13.2275 9.18982 11.4164
6000 640.065 9.39255 10.7665 9.91219 13.5041 9.06886 11.2385
7000 647.255 9.28949 10.6672 9.85504 13.3582 9.13739 11.0489
8000 647.55 9.31894 10.6658 10.1122 13.6525 9.21496 11.1147
9000 633.703 9.43228 10.8176 10.0288 13.6254 8.99577 11.0843
10000 641.374 9.59915 10.7347 10.4171 13.4939 9.18317 10.9211
11000 632.716 9.46101 10.9176 10.363 13.8655 9.1075 11.124
12000 642.813 9.50326 10.6347 10.1371 13.994 9.09559 10.9515
13000 635.641 9.34014 10.6872 10.0393 13.6817 9.24264 10.9888
14000 639.566 9.65629 10.5571 10.0319 13.9537 9.18261 11.042
15000 631.642 9.52671 10.5988 10.1246 14.4799 9.15732 11.2351
16000 640.202 9.46902 10.5058 9.79484 14.3484 9.14601 11.3092
17000 629.146 9.55386 10.5549 9.97671 14.6191 9.25351 11.2924
18000 636.997 9.49369 10.6628 10.1728 14.494 9.30552 11.3951
19000 626.037 9.56256 10.8808 10.1869 14.5309 9.55945 11.4658
20000 632.753 9.69674 10.6593 10.0187 14.4471 9.53661 10.9622
21000 631.779 9.54181 10.6489 10.4545 14.1601 9.45894 11.1575
22000 631.32 9.4132 10.8154 10.4296 13.7472 9.55831 10.8546
23000 623.086 9.81135 10.6332 9.82505 13.7172 9.30977 10.7304
24000 629.392 9.83173 10.4909 10.0847 14.4269 9.1328 10.9433
25000 621.459 9.84223 10.4785 10.2891 14.8423 9.08066 11.0426
26000 627.943 9.9064 10.5414 9.993 14.9245 9.27056 11.2498
27000 627.193 9.55664 10.473 10.2533 14.4721 9.37558 11.1522
28000 627.007 9.64834 10.5103 10.0238 14.4814 9.4226 11.2176
29000 626.592 9.69505 10.9488 10.1016 14.5449 9.36971 11.262
30000 615.065 9.76008 10.9034 10.1233 14.7037 9.43627 11.3181
31000 625.487 9.44616 10.9732 10.0546 14.8817 9.35586 11.3348
32000 617.827 9.36306 10.6969 9.98638 14.7871 9.15223 11.6377
33000 613.597 9.36399 10.9041 9.97015 14.8413 9.19113 11.4086
34000 609.892 9.27687 10.679 10.0657 14.9295 9.0133 11.2542
35000 614.321 9.51964 10.6099 9.88792 14.6712 9.05339 11.2572
36000 611.634 9.57477 10.6491 10.1839 14.5725 9.04526 11.1521
